Line_no,Process_Name,Process_Time_0osec,Stack
0,AHRS,0,48
1,ADU,0,48
2,GPS,0,48
3,EMS,0,48
4,DIO,0,48
5,acutator,32746,864
6,CLAW,213653,3280
7,annunciator,0,48
8,FDIR,0,48
9,test_execuPost_process,0,48
10,telemetry,0,48
11,data_validation,0,48
12,
13,state_machine,0,48
14,ADAHRS,0,48
15,Post_process,0,48
16,read_interface,1114933,784
17,,, ADU=0,AHRS=0,GPS=0, EMS=0, ADAHRS=0, Actu=31885, Annun_Pann=0, CLAW=31885, Data_valid=0, DIO=0, FDIR=0, POST=0, Telem=0, Test_Exec=0, Read_thread = 555
18,AHRS,75840,1064
19,ADU,73866,2480
20,GPS,24266,2544
21,EMS,62506,848
22,DIO,114666,848
23,acutator,0,864
24,CLAW,0,3280
25,annunciator,132586,2304
26,FDIR,9760,552
27,test_execuPost_process,57280,728
28,telemetry,814293,3536
29,data_validation,856000,2480
30,
31,state_machine,856000,2480
32,ADAHRS,70933,2336
33,Post_process,33173,680
34,read_interface,188480,784
35,,, ADU=31887,AHRS=31887,GPS=31887, EMS=31887, ADAHRS=31887, Actu=31885, Annun_Pann=31888, CLAW=31885, Data_valid=31887, DIO=31889, FDIR=31887, POST=0, Telem=31888, Test_Exec=31889, Read_thread = 5
36,AHRS,10773,1064
37,ADU,50294,2480
38,GPS,8214,2544
39,EMS,9760,848
40,DIO,84427,848
41,acutator,0,864
42,CLAW,0,3280
43,annunciator,85867,2304
44,FDIR,6133,552
45,test_execuPost_process,0,728
46,telemetry,0,3536
47,data_validation,0,2480
48,
49,state_machine,0,2480
50,ADAHRS,16907,2336
51,Post_process,11093,680
52,read_interface,74453,784
53,,, ADU=4,AHRS=4,GPS=4, EMS=4, ADAHRS=4, Actu=31885, Annun_Pann=3, CLAW=31885, Data_valid=31887, DIO=2, FDIR=4, POST=2, Telem=31888, Test_Exec=31889, Read_thread = 5
54,AHRS,0,1064
55,ADU,8800,2480
56,GPS,7573,2544
57,EMS,7040,848
58,DIO,83573,848
59,acutator,0,864
60,CLAW,0,3280
61,annunciator,0,2304
62,FDIR,6027,552
63,test_execuPost_process,0,728
64,telemetry,0,3536
65,data_validation,0,2480
66,
67,state_machine,0,2480
68,ADAHRS,13013,2336
69,Post_process,0,680
70,read_interface,101974,784
71,,, ADU=5,AHRS=4,GPS=5, EMS=5, ADAHRS=5, Actu=31885, Annun_Pann=3, CLAW=31885, Data_valid=31887, DIO=5, FDIR=5, POST=2, Telem=31888, Test_Exec=31889, Read_thread = 5
72,AHRS,8640,1064
73,ADU,8640,2480
74,GPS,19893,2544
75,EMS,7520,848
76,DIO,89707,848
77,acutator,0,864
78,CLAW,0,3280
79,annunciator,0,2304
80,FDIR,5600,552
81,test_execuPost_process,0,728
82,telemetry,0,3536
83,data_validation,817173,2480
84,
85,state_machine,817173,2480
86,ADAHRS,13067,2336
87,Post_process,0,680
88,read_interface,410773,784
89,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=31885, Annun_Pann=3, CLAW=31885, Data_valid=14, DIO=6, FDIR=5, POST=2, Telem=31888, Test_Exec=31889, Read_thread = 5
90,AHRS,0,1064
91,ADU,10026,2480
92,GPS,57334,2544
93,EMS,44054,848
94,DIO,87360,848
95,acutator,0,864
96,CLAW,68480,3280
97,annunciator,0,2304
98,FDIR,6080,552
99,test_execuPost_process,0,728
100,telemetry,0,3536
101,data_validation,0,2480
102,
103,state_machine,0,2480
104,ADAHRS,124906,3152
105,Post_process,0,680
106,read_interface,350880,784
107,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=31885, Annun_Pann=3, CLAW=25, Data_valid=14, DIO=4, FDIR=5, POST=2, Telem=31888, Test_Exec=31889, Read_thread = 5
108,AHRS,13013,1064
109,ADU,10294,2480
110,GPS,177173,2544
111,EMS,53653,848
112,DIO,90720,848
113,acutator,0,864
114,CLAW,0,3280
115,annunciator,0,2304
116,FDIR,6720,552
117,test_execuPost_process,0,728
118,telemetry,0,3536
119,data_validation,0,2480
120,
121,state_machine,0,2480
122,ADAHRS,21334,3152
123,Post_process,0,680
124,read_interface,265760,784
125,,, ADU=5,AHRS=10,GPS=5, EMS=6, ADAHRS=5, Actu=31885, Annun_Pann=3, CLAW=25, Data_valid=14, DIO=6, FDIR=5, POST=2, Telem=31888, Test_Exec=31889, Read_thread = 5
126,AHRS,0,1064
127,ADU,8906,2480
128,GPS,205867,2544
129,EMS,133440,3152
130,DIO,87360,848
131,acutator,90987,864
132,CLAW,0,3280
133,annunciator,0,2304
134,FDIR,6186,552
135,test_execuPost_process,0,728
136,telemetry,0,3536
137,data_validation,0,2480
138,
139,state_machine,0,2480
140,ADAHRS,20693,3152
141,Post_process,0,680
142,read_interface,182507,784
143,,, ADU=5,AHRS=10,GPS=5, EMS=4, ADAHRS=5, Actu=35, Annun_Pann=3, CLAW=25, Data_valid=14, DIO=4, FDIR=5, POST=2, Telem=31888, Test_Exec=31889, Read_thread = 5
144,AHRS,9867,1064
145,ADU,8800,2480
146,GPS,100106,2544
147,EMS,8907,3152
148,DIO,94240,848
149,acutator,0,864
150,CLAW,0,3280
151,annunciator,0,2304
152,FDIR,5867,552
153,test_execuPost_process,0,728
154,telemetry,784267,3536
155,data_validation,0,2480
156,
157,state_machine,0,2480
158,ADAHRS,20693,3152
159,Post_process,0,680
160,read_interface,169280,784
161,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=35, Annun_Pann=3, CLAW=25, Data_valid=14, DIO=6, FDIR=5, POST=2, Telem=33, Test_Exec=31889, Read_thread = 5
162,AHRS,0,1064
163,ADU,8694,2480
164,GPS,6827,2544
165,EMS,8426,3152
166,DIO,90827,848
167,acutator,0,864
168,CLAW,0,3280
169,annunciator,0,2304
170,FDIR,6027,552
171,test_execuPost_process,0,728
172,telemetry,0,3536
173,data_validation,0,2480
174,
175,state_machine,0,2480
176,ADAHRS,20427,3152
177,Post_process,0,680
178,read_interface,106933,784
179,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=35, Annun_Pann=3, CLAW=25, Data_valid=14, DIO=4, FDIR=5, POST=2, Telem=33, Test_Exec=31889, Read_thread = 5
180,AHRS,45173,1064
181,ADU,8000,2480
182,GPS,7040,2544
183,EMS,9174,3152
184,DIO,83466,848
185,acutator,0,864
186,CLAW,0,3280
187,annunciator,115840,2304
188,FDIR,5706,552
189,test_execuPost_process,0,728
190,telemetry,0,3536
191,data_validation,0,2480
192,
193,state_machine,0,2480
194,ADAHRS,19947,3152
195,Post_process,11734,680
196,read_interface,75573,784
197,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=35, Annun_Pann=40, CLAW=25, Data_valid=14, DIO=5, FDIR=5, POST=40, Telem=33, Test_Exec=31889, Read_thread = 5
198,AHRS,0,1064
199,ADU,9173,2480
200,GPS,7093,2544
201,EMS,8533,3152
202,DIO,81707,848
203,acutator,0,864
204,CLAW,0,3280
205,annunciator,0,2304
206,FDIR,5974,552
207,test_execuPost_process,0,728
208,telemetry,0,3536
209,data_validation,0,2480
210,
211,state_machine,0,2480
212,ADAHRS,20106,3152
213,Post_process,0,680
214,read_interface,158187,784
215,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=35, Annun_Pann=40, CLAW=25, Data_valid=14, DIO=5, FDIR=5, POST=40, Telem=33, Test_Exec=31889, Read_thread = 5
216,AHRS,10454,1064
217,ADU,37973,2480
218,GPS,7254,2544
219,EMS,9547,3152
220,DIO,91307,848
221,acutator,0,864
222,CLAW,0,3280
223,annunciator,0,2304
224,FDIR,6400,552
225,test_execuPost_process,0,728
226,telemetry,0,3536
227,data_validation,748000,2480
228,
229,state_machine,748000,2480
230,ADAHRS,34560,3152
231,Post_process,0,680
232,read_interface,160853,784
233,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=35, Annun_Pann=40, CLAW=25, Data_valid=40, DIO=6, FDIR=5, POST=40, Telem=33, Test_Exec=31889, Read_thread = 5
234,AHRS,0,1064
235,ADU,9120,2480
236,GPS,7200,2544
237,EMS,8800,3152
238,DIO,92800,848
239,acutator,0,864
240,CLAW,64693,3280
241,annunciator,0,2304
242,FDIR,5706,552
243,test_execuPost_process,0,728
244,telemetry,0,3536
245,data_validation,0,2480
246,
247,state_machine,0,2480
248,ADAHRS,20800,3152
249,Post_process,0,680
250,read_interface,108800,784
251,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=35, Annun_Pann=40, CLAW=40, Data_valid=40, DIO=4, FDIR=5, POST=40, Telem=33, Test_Exec=31889, Read_thread = 5
252,AHRS,52586,1064
253,ADU,8800,2480
254,GPS,7893,2544
255,EMS,9546,3152
256,DIO,81813,848
257,acutator,0,864
258,CLAW,0,3280
259,annunciator,0,2304
260,FDIR,6134,552
261,test_execuPost_process,0,728
262,telemetry,0,3536
263,data_validation,0,2480
264,
265,state_machine,0,2480
266,ADAHRS,20267,3152
267,Post_process,0,680
268,read_interface,230880,784
