column1,column2,column3
33223,AHRS_process,6689813,2576
33223,ADU_process,19205226,3032
33223,GPS_process,3978453,3096
33223,EMS_process,7568533,2792
33223,DIO_process,33956906,848
33223,actuator_process,7892480,848
33224,CLAW_process,1466240,5816
33224,annunciator_process,6122186,2304
33224,FDIR_process,2275146,552
33224,test_executor_process,817653,760
33224,telemetry_process,67805920,3536
33224,processmonitor_process,996000,2496
33224,data_validation_process,66677760,3032
33224,ADAHRS_process,20461973,2888
33224,Post_process,607360,680
33224,read_interface_process,35011466,784
33228,AHRS_process,0,2576
33228,ADU_process,44694,3032
33228,GPS_process,9013,3096
33228,EMS_process,18027,2792
33228,DIO_process,86827,848
33229,actuator_process,70933,848
33229,CLAW_process,1436000,5872
33229,annunciator_process,0,2304
33229,FDIR_process,5120,552
33229,test_executor_process,0,760
33229,telemetry_process,0,3536
33229,processmonitor_process,973173,2496
33229,data_validation_process,0,3032
33229,ADAHRS_process,42507,2888
33229,Post_process,0,680
33229,read_interface_process,121227,784
33233,AHRS_process,35733,2576
33233,ADU_process,44480,3032
33233,GPS_process,9174,3096
33233,EMS_process,18613,2792
33233,DIO_process,95147,848
33233,actuator_process,85280,848
33233,CLAW_process,0,5872
33234,annunciator_process,0,2304
33234,FDIR_process,5654,552
33234,test_executor_process,0,760
33234,telemetry_process,1223520,3536
33234,processmonitor_process,928853,2496
33234,data_validation_process,0,3032
33234,ADAHRS_process,47520,2888
33234,Post_process,0,680
33234,read_interface_process,90133,784
33238,AHRS_process,0,2576
33238,ADU_process,44906,3032
33238,GPS_process,8373,3096
33238,EMS_process,17547,2792
33238,DIO_process,89866,848
33238,actuator_process,0,848
33238,CLAW_process,248800,5968
33238,annunciator_process,0,2304
33239,FDIR_process,5600,552
33239,test_executor_process,0,760
33239,telemetry_process,0,3536
33239,processmonitor_process,934027,2496
33239,data_validation_process,0,3032
33239,ADAHRS_process,45546,2888
33239,Post_process,0,680
33239,read_interface_process,90667,784
33243,AHRS_process,34827,2576
33243,ADU_process,44107,3032
33243,GPS_process,8480,3096
33243,EMS_process,18613,2792
33243,DIO_process,89334,848
33243,actuator_process,0,848
33243,CLAW_process,0,5968
33243,annunciator_process,131414,2304
33244,FDIR_process,5546,552
33244,test_executor_process,0,760
