Column1,Column2,Column3
31977,AHRS_process,0,48
31977,ADU_process,0,48
31977,GPS_process,0,48
31977,EMS_process,0,48
31977,DIO_process,0,48
31977,actuator_cmd_process,187786,864
31977,actuator_feedback_process,142186,864
31977,CLAW_process,321066,2656
31977,annunciator_process,0,48
31977,FDIR_process,0,48
31977,test_executor_process,0,48
31977,telemetry_process,0,48
31977,processmonitor_process,267913706,2704
31978,data_validation_process,0,48
31978,
31978,ADAHRS_process,0,48
31978,Post_process,0,48
31978,read_interface_process,341920,784
31978,
31978,AHRS_process,23520,1320
31978,ADU_process,23786,784
31978,GPS_process,42186,2544
31978,EMS_process,20106,848
31978,DIO_process,0,48
31979,actuator_cmd_process,71414,864
31979,actuator_feedback_process,0,864
31979,CLAW_process,0,2656
31979,annunciator_process,0,48
31979,FDIR_process,14880,552
31979,test_executor_process,0,48
31979,telemetry_process,0,48
31979,processmonitor_process,808907,2704
31979,data_validation_process,107840,2480
31979,
31979,ADAHRS_process,57760,2336
31979,Post_process,0,48
31979,read_interface_process,76053,784
31979,
31983,AHRS_process,8213,1320
31983,ADU_process,0,784
31983,GPS_process,0,2544
31983,EMS_process,0,848
31983,DIO_process,129066,2320
31983,actuator_cmd_process,88053,864
31983,actuator_feedback_process,0,864
31983,CLAW_process,0,2656
31984,annunciator_process,96000,872
31984,FDIR_process,0,552
31984,test_executor_process,23680,728
31984,telemetry_process,1604853,3552
31984,processmonitor_process,829493,2704
31984,data_validation_process,1133973,2480
31984,
31984,ADAHRS_process,21226,2336
31984,Post_process,20533,680
31984,read_interface_process,77920,784
31984,
31988,AHRS_process,0,1320
31988,ADU_process,20960,784
31988,GPS_process,9707,2544
31988,EMS_process,8587,848
31988,DIO_process,98880,2320
31988,actuator_cmd_process,0,864
31988,actuator_feedback_process,0,864
31988,CLAW_process,0,2656
31989,annunciator_process,0,872
31989,FDIR_process,5546,552
31989,test_executor_process,0,728
31989,telemetry_process,0,3552
31989,processmonitor_process,876267,2704
31989,data_validation_process,0,2480
31989,
31989,ADAHRS_process,24854,2336
31989,Post_process,0,680
31989,read_interface_process,75840,784
31989,  Scheduled time in ms ADU=6, AHRS=0 , GPS=6
31993,AHRS_process,11253,1320
31993,ADU_process,8160,784
31993,GPS_process,8053,2544
31993,EMS_process,7627,848
